#SampleID;alias;Compartment;Mesocosm;Sample_type;Water_type;Time;Sampling_date;NA_concentration
99-Mesocosm-2-1-Exp1-TEST-Racines;99-Mesocosm-2-1-Exp1-TEST-Racines;Roots;Mesocosm_2;Carex;OSPW;D84;13-10-2021;21.6
99-Mesocosm-2-1-Exp1-TEST-Rhizo;99-Mesocosm-2-1-Exp1-TEST-Rhizo;Rhizosphere;Mesocosm_2;Carex;OSPW;D84;13-10-2021;21.6
99-Mesocosm-2-1-Exp1-TEST-Sed;99-Mesocosm-2-1-Exp1-TEST-Sed;Sediments;Mesocosm_2;Carex;OSPW;D84;13-10-2021;21.6
5-Mesocosm-3-1-Exp1-D-0-Sed;5-Mesocosm-3-1-Exp1-D-0-Sed;Sediments;Mesocosm_3;No_plant;OSPW;D-0;14-07-2021;1.1
6-Mesocosm-3-2-Exp1-D-0-Sed;6-Mesocosm-3-2-Exp1-D-0-Sed;Sediments;Mesocosm_3;No_plant;OSPW;D-0;14-07-2021;1.1
53-Mesocosm-3-1-Exp1-D28-Sed;53-Mesocosm-3-1-Exp1-D28-Sed;Sediments;Mesocosm_3;No_plant;OSPW;D28;18-08-2021;122.8
54-Mesocosm-3-2-Exp1-D28-Sed;54-Mesocosm-3-2-Exp1-D28-Sed;Sediments;Mesocosm_3;No_plant;OSPW;D28;18-08-2021;122.8
77-Mesocosm-3-1-Exp1-D42-Sed;77-Mesocosm-3-1-Exp1-D42-Sed;Sediments;Mesocosm_3;No_plant;OSPW;D42;01-09-2021;83.9
78-Mesocosm-3-2-Exp1-D42-Sed;78-Mesocosm-3-2-Exp1-D42-Sed;Sediments;Mesocosm_3;No_plant;OSPW;D42;01-09-2021;83.9
29-Mesocosm-3-1-Exp1-D8-Sed;29-Mesocosm-3-1-Exp1-D8-Sed;Sediments;Mesocosm_3;No_plant;OSPW;D8;29-07-2021;75.1
30-Mesocosm-3-2-Exp1-D8-Sed;30-Mesocosm-3-2-Exp1-D8-Sed;Sediments;Mesocosm_3;No_plant;OSPW;D8;29-07-2021;75.1
101-Mesocosm-3-1-Exp1-TEST-Sed;101-Mesocosm-3-1-Exp1-TEST-Sed;Sediments;Mesocosm_3;No_plant;OSPW;D84;13-10-2021;57.4
102-Mesocosm-3-2-Exp1-TEST-Sed;102-Mesocosm-3-2-Exp1-TEST-Sed;Sediments;Mesocosm_3;No_plant;OSPW;D84;13-10-2021;57.4
7-Mesocosm-4-1-Exp1-D-0-Sed;7-Mesocosm-4-1-Exp1-D-0-Sed;Sediments;Mesocosm_4;No_plant;Artificial_OSPW;D-0;14-07-2021;1.4
8-Mesocosm-4-2-Exp1-D-0-Sed;8-Mesocosm-4-2-Exp1-D-0-Sed;Sediments;Mesocosm_4;No_plant;Artificial_OSPW;D-0;14-07-2021;1.4
55-Mesocosm-4-1-Exp1-D28-Sed;55-Mesocosm-4-1-Exp1-D28-Sed;Sediments;Mesocosm_4;No_plant;Artificial_OSPW;D28;18-08-2021;0.3
56-Mesocosm-4-2-Exp1-D28-Sed;56-Mesocosm-4-2-Exp1-D28-Sed;Sediments;Mesocosm_4;No_plant;Artificial_OSPW;D28;18-08-2021;0.3
79-Mesocosm-4-1-Exp1-D42-Sed;79-Mesocosm-4-1-Exp1-D42-Sed;Sediments;Mesocosm_4;No_plant;Artificial_OSPW;D42;01-09-2021;0.2
80-Mesocosm-4-2-Exp1-D42-Sed;80-Mesocosm-4-2-Exp1-D42-Sed;Sediments;Mesocosm_4;No_plant;Artificial_OSPW;D42;01-09-2021;0.2
31-Mesocosm-4-1-Exp1-D8-Sed;31-Mesocosm-4-1-Exp1-D8-Sed;Sediments;Mesocosm_4;No_plant;Artificial_OSPW;D8;29-07-2021;0.2
32-Mesocosm-4-2-Exp1-D8-Sed;32-Mesocosm-4-2-Exp1-D8-Sed;Sediments;Mesocosm_4;No_plant;Artificial_OSPW;D8;29-07-2021;0.2
